"filename", "language", "JavaScript", "HTML", "XML", "CSS", "Markdown", "comment", "blank", "total"
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_avro.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_aws.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_azure.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_azurepipelines.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_babel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_babel2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_ballerina.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bat.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bazaar.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bazel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_befunge.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_biml.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_binary.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bitbucketpipeline.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bithound.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_blade.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bolt.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bower.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bower2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_browserslist.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_buckbuild.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_bundler.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_c.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_c2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
